04683202,2000
04723129,1939
04683195,1823
04463359,1681
04740796,1641
04558333,1562
04345262,1541
04313124,1507
04459600,1464
04733665,1293
05103459,1131
05572643,1026
04901307,972
05143854,926
05523520,924
05643826,883
04655771,865
04340563,815
05742905,797
5523520,792
"WO 99/50787",783
05892900,781
04799156,773
05172338,754
04776337,751
04816567,751
04886062,749
04965188,748
2306669,732
04800882,730
04580568,710
05710887,699
04665906,698
"WO 99/18487",690
05056109,688
03953566,684
04405829,675
04739762,670
04503569,664
04608577,661
5892900,652
04179337,645
05794207,637
05064435,636
05272236,635
04100324,634
05530852,634
05109390,626
05608786,623
05708780,623
4733665,623
5948061,619
05101501,617
05715314,617
04908112,611
05923962,610
5794207,609
04951601,607
05774660,607
04558413,599
05247190,597
4799156,597
04994071,594
05223844,594
04992940,589
05960411,589
05247347,587
05111638,586
05740549,585
04946778,583
06011725,583
05220501,581
04413725,576
04870302,576
04706121,573
05862325,571
04856516,569
04663220,561
05445934,560
04512338,559
04733521,558
04800159,553
05329578,553
04440871,548
05848396,547
05061049,546
05629980,546
04773182,545
04993068,542
05661506,542
04333267,540
04916441,536
04830003,530
05223409,530
05313454,529
05768192,529
04376110,526
04425908,524
04864618,523
05948061,522
05852434,520
"WO 99/49504",519
05370675,519
06029195,519
6177931,519
04769292,515
04216620,513
05278272,513
05347632,509
05850009,509
6850252,509
03962503,506
04994069,506
05652412,504
05794210,503
05692073,502
05948040,502
05724424,501
05043736,500
05367109,497
05796952,492
05026377,491
05102417,491
05477012,490
5220501,490
05051736,488
05304719,488
05133732,486
05334193,486
05071407,484
03868956,481
04650466,481
05181364,481
05403311,481
05019090,480
05744305,480
04041203,478
5710887,478
04762129,477
04553545,476
04054697,474
05452733,473
05848932,472
5740549,471
04827508,470
06076734,470
03916899,468
04367924,468
05167024,467
04118890,464
5661506,464
5848396,459
04187390,458
6076734,458
04265990,457
05311360,457
04801014,456
04834757,456
6029195,456
05640343,454
2003/0126136,454
04862245,453
05640193,453
03849241,452
5852434,452
04878906,451
04950227,451
05267261,451
5692073,451
04732152,450
03702886,449
04349921,449
05064802,449
05754939,449
05104404,448
5724521,446
5960411,446
05163131,445
4864618,445
05043940,444
05629790,444
05277201,443
05348554,443
04539507,442
05015247,442
05095344,442
05557518,442
5136501,442
6226618,440
04517763,438
04723549,438
04491628,437
04748982,437
04798603,437
05675507,437
05765152,437
05007908,436
05123917,436
05000113,434
5652412,434
05195984,433
05304487,433
05374564,433
04200770,431
03845770,430
04323071,430
04704116,429
6964374,429
04835834,428
05008853,428
05282824,428
05319705,428
5477012,428
04535773,427
05104399,427
05590197,426
04380564,425
05235782,424
05297148,424
05572528,424
04358535,421
04658084,421
04706216,420
04731499,420
05216278,420
05677955,420
05086385,419
05155847,419
05148265,418
05449373,418
04400910,417
05479447,417
5862325,417
05247575,416
05366012,416
2003/0229900,416
04140126,415
05353331,415
05790548,415
4683202,415
5051736,415
04695053,414
04948458,414
04757267,413
04787899,413
05383917,413
06226618,413
05715403,412
05471515,411
05473599,411

